상가업소번호|상호명|지점명|상권업종대분류코드|상권업종대분류명|상권업종중분류코드|상권업종중분류명|상권업종소분류코드|상권업종소분류명|표준산업분류코드|표준산업분류명|시도코드|시도명|시군구코드|시군구명|행정동코드|행정동명|법정동코드|법정동명|지번코드|대지구분코드|대지구분명|지번본번지|지번부번지|지번주소|도로명코드|도로명|건물본번지|건물부번지|건물관리번호|건물명|도로명주소|구우편번호|신우편번호|동정보|층정보|호정보|경도|위도
19970393|강원흑염소||D|소매|D10|건강/미용식품|D10A07|건강원|G47216|건강보조식품 소매업|11|서울특별시|11320|도봉구|1132069000|방학1동|1132010600|방학동|1132010600206960000|1|대지|696||서울특별시 도봉구 방학동 696|113203109001|서울특별시 도봉구 도당로|80||1132010600106960000004002|방학동근생|서울특별시 도봉구 도당로 80|132020|01342||1||127.036321354325|37.6648405892031
19970675|동대문엽기냉면||Q|음식|Q01|한식|Q01A19|냉면집|I56111|한식 음식점업|11|서울특별시|11215|광진구|1121584700|자양4동|1121510500|자양동|1121510500200080030|1|대지|8|30|서울특별시 광진구 자양동 8-30|112153000002|서울특별시 광진구 아차산로|212||1121510500100080030015021|민영빌딩|서울특별시 광진구 아차산로 212|143190|05072||||127.066829915302|37.540958336435
19971167|상주기름집||D|소매|D01|음/식료품소매|D01A07|반찬가게|G47219|기타 식료품 소매업|11|서울특별시|11320|도봉구|1132051200|창2동|1132010700|창동|1132010700205810075|1|대지|581|75|서울특별시 도봉구 창동 581-75|113204127039|서울특별시 도봉구 덕릉로57길|10||1132010700105810075017078||서울특별시 도봉구 덕릉로57길 10|132040|01470||||127.03790859135|37.6393362957094
25528732|피자||Q|음식|Q07|패스트푸드|Q07A01|피자전문|I56192|피자, 햄버거, 샌드위치 및 유사 음식점업|11|서울특별시|11140|중구|1114063500|약수동|1114016200|신당동|1114016200203660126|1|대지|366|126|서울특별시 중구 신당동 366-126|111403101014|서울특별시 중구 다산로|56||1114016200103660154023161|남산정은스카이아파트|서울특별시 중구 다산로 56|100450|04597||1||127.007762199319|37.5494512039745
25528911|푸마호프||Q|음식|Q09|유흥주점|Q09A01|호프/맥주|I56219|기타 주점업|11|서울특별시|11530|구로구|1153054000|구로3동|1153010200|구로동|1153010200207930038|1|대지|793|38|서울특별시 구로구 구로동 793-38|115303116010|서울특별시 구로구 도림로|24||1153010200107930109022019||서울특별시 구로구 도림로 24|152050|08373||1||126.887900333528|37.4864454831779
25528992|도장닷컴||D|소매|D08|사무/문구/컴퓨터|D08A10|인장/도장|G47612|문구용품 소매업|11|서울특별시|11680|강남구|1168052100|논현1동|1168010800|논현동|1168010800201920010|1|대지|192|10|서울특별시 강남구 논현동 192-10|116804166343|서울특별시 강남구 봉은사로25길|10||1168010800101920010008970||서울특별시 강남구 봉은사로25길 10|135010|06122||1||127.032586595331|37.5078033891185
25395596|광문고시텔||R|학문/교육|R10|도서관/독서실|R10A02|고시원|R90212|독서실 운영업|11|서울특별시|11200|성동구|1120056000|행당1동|1120010700|행당동|1120010700202860022|1|대지|286|22|서울특별시 성동구 행당동 286-22|112004109274|서울특별시 성동구 무학봉28길|22||1120010700102860022028065||서울특별시 성동구 무학봉28길 22|133070|04715||2||127.034079218033|37.5613469950324
25414324|아메리카요가||N|관광/여가/오락|N05|요가/단전/마사지|N05A01|요가/단식|S96129|기타 미용관련 서비스업|11|서울특별시|11500|강서구|1150060400|가양2동|1150010400|가양동|1150010400214790004|1|대지|1479|4|서울특별시 강서구 가양동 1479-4|115004145413|서울특별시 강서구 양천로57길|13||1150010400114790004009672|시드프라자|서울특별시 강서구 양천로57길 13|157200|07527||6||126.852005064419|37.5635913887576
25458087|리복||D|소매|D05|의복의류|D05A02|캐쥬얼/스포츠의류|G47416|셔츠 및 기타 의복 소매업|11|서울특별시|11545|금천구|1154551000|가산동|1154510100|가산동|1154510100200600020|1|대지|60|20|서울특별시 금천구 가산동 60-20|115453116013|서울특별시 금천구 벚꽃로|266||1154510100100600020014060|마리오아울렛3|서울특별시 금천구 벚꽃로 266|153717|08511||1||126.885068137309|37.47843551394
25458183|chosecoffee||Q|음식|Q12|커피점/카페|Q12A01|커피전문점/카페/다방|I56220|비알콜 음료점업|11|서울특별시|11680|강남구|1168072000|일원본동|1168011500|수서동|1168011500207470000|1|대지|747||서울특별시 강남구 수서동 747|116804166074|서울특별시 강남구 광평로31길|27||1168011500107470000001598|삼성아파트|서울특별시 강남구 광평로31길 27|135521|06354||2||127.089758700276|37.4848302444562
